ChunkID,Seed,X,Y,Z,R,Theta,Type,Mass,Temperature,Luminosity,ColorR,ColorG,ColorB,Population,Region,Planets,IsMultiple,SystemName
1_0_0,550280101888,102.84,0.06,1.07,102.84,0.03,M5V,0.330,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101888
1_0_0,550280101889,101.25,0.02,3.40,101.25,0.01,K0III,1.422,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101889
1_0_0,550280101890,102.99,0.03,9.06,102.99,0.02,NS,1.218,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,True,550280101890
1_0_0,550280101891,101.40,0.05,11.39,101.40,0.03,M5V,0.287,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101891
1_0_0,550280101892,103.14,0.01,13.72,103.14,0.01,M5V,0.312,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101892
1_0_0,550280101893,101.55,0.03,19.38,101.55,0.02,M5V,0.338,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101893
1_0_0,550280101894,103.29,0.05,21.71,103.29,0.03,K0III,0.974,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101894
1_0_0,550280101895,101.70,0.00,24.04,101.70,0.00,NS,1.256,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101895
1_0_0,550280101896,100.10,0.02,29.70,100.10,0.01,K5V,0.688,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,5,False,550280101896
1_0_0,550280101897,101.85,0.04,32.03,101.85,0.02,M5V,0.320,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,False,550280101897
1_0_0,550280101898,100.25,0.05,34.36,100.25,0.03,M5V,0.346,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101898
1_0_0,550280101899,102.00,0.01,36.69,102.00,0.01,K0III,1.006,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101899
1_0_0,550280101900,100.40,0.03,42.36,100.40,0.02,NS,1.294,1000000,0.0010,0.700,0.700,1.000,Bulge,Central Molecular Zone,0,False,550280101900
1_0_0,550280101901,102.14,0.05,44.69,102.14,0.03,K5V,0.707,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,3,False,550280101901
1_0_0,550280101902,100.55,0.01,47.02,100.55,0.00,M5V,0.328,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,3,False,550280101902
1_0_0,550280101903,102.29,0.02,52.68,102.29,0.01,M5V,0.354,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,1,True,550280101903
1_0_0,550280101904,100.70,0.04,55.01,100.70,0.02,K0III,1.039,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101904
1_0_0,550280101905,102.44,0.06,57.34,102.44,0.03,DA,0.571,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,True,550280101905
1_0_0,550280101906,100.85,0.02,63.00,100.85,0.01,K5V,0.725,4200,0.4000,1.000,0.850,0.650,Bulge,Central Molecular Zone,6,False,550280101906
1_0_0,550280101907,102.59,0.03,65.33,102.59,0.02,M5V,0.337,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,2,False,550280101907
1_0_0,550280101908,101.00,0.05,67.66,101.00,0.03,M5V,0.242,3200,0.0400,1.000,0.600,0.400,Bulge,Central Molecular Zone,0,False,550280101908
1_0_0,550280101909,102.74,0.01,73.33,102.74,0.01,K0III,1.071,3500,200.0000,1.000,0.400,0.200,Bulge,Central Molecular Zone,0,False,550280101909
1_0_0,550280101910,101.15,0.03,75.66,101.15,0.02,DA,0.587,10000,0.0100,0.950,0.950,1.000,Bulge,Central Molecular Zone,0,False,550280101910
