PlanetName,StarName,Mass,MassUnit,Radius,RadiusUnit,Period,SemiMajorAxis,Eccentricity,Type
Mercury,Sol,0.055,Earth,0.383,Earth,87.969,0.387,0.206,Terrestrial
Venus,Sol,0.815,Earth,0.949,Earth,224.701,0.723,0.007,Terrestrial
Earth,Sol,1.0,Earth,1.0,Earth,365.256,1.0,0.017,Terrestrial
Mars,Sol,0.107,Earth,0.532,Earth,686.980,1.524,0.093,Terrestrial
Jupiter,Sol,1.0,Jupiter,1.0,Jupiter,4332.589,5.203,0.048,Gas Giant
Saturn,Sol,0.299,Jupiter,0.843,Jupiter,10759.22,9.537,0.054,Gas Giant
Uranus,Sol,0.046,Jupiter,0.354,Jupiter,30685.4,19.191,0.047,Ice Giant
Neptune,Sol,0.054,Jupiter,0.346,Jupiter,60189.0,30.069,0.009,Ice Giant
Proxima Centauri b,Proxima Centauri,1.27,Earth,1.08,Earth,11.186,0.0485,0.11,Terrestrial
Proxima Centauri c,Proxima Centauri,7.0,Earth,1.5,Earth,1928,1.489,0.04,Super-Earth
Epsilon Eridani b,Epsilon Eridani,0.78,Jupiter,1.2,Jupiter,2502,3.39,0.07,Gas Giant
Tau Ceti e,Tau Ceti,3.93,Earth,1.8,Earth,168.12,0.538,0.18,Super-Earth
Tau Ceti f,Tau Ceti,3.93,Earth,1.8,Earth,636.13,1.334,0.16,Super-Earth
Tau Ceti g,Tau Ceti,1.75,Earth,1.2,Earth,20.0,0.133,0.06,Super-Earth
Tau Ceti h,Tau Ceti,1.83,Earth,1.3,Earth,49.41,0.243,0.23,Super-Earth
YZ Ceti b,YZ Ceti,0.75,Earth,0.9,Earth,2.02,0.016,0.06,Terrestrial
YZ Ceti c,YZ Ceti,0.98,Earth,1.0,Earth,3.06,0.022,0.04,Terrestrial
YZ Ceti d,YZ Ceti,1.14,Earth,1.05,Earth,4.66,0.029,0.13,Terrestrial
Kapteyn's Star b,Kapteyn's Star,4.5,Earth,1.6,Earth,48.6,0.168,0.21,Super-Earth
