Column1,Column2,Column3,Column5,Column6
System,Name,Distance,Coordinates (RA/Dec,Stellar Class
Solar System,Sol,0.0000158,N/A,
Alpha Centauri,"Proxima Centauri (C, V645 Centauri)",4.2465±0.0003,768.0665±0.0499[8],
,Rigil Kentaurus (A)$,4.3441±0.0022,750.81±0.38[13],
,Toliman (B)$,,,
Barnard's Star (BD+04°3561a),Barnard's Star (BD+04°3561a),5.9629±0.0004,546.9759±0.0401[8],
Luhman 16(WISE 1049?5319),A§,6.5029±0.0011,501.557±0.082[18],
,B§,,,
WISE 0855?0714&,WISE 0855?0714&,7.430±0.041,439.0±2.4[19],
Wolf 359 (CN Leonis),Wolf 359 (CN Leonis),7.8558±0.0013,415.1794±0.0684[8],
"Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)","Lalande 21185 (BD+36°2147, Gliese 411, HD 95735)",8.3044±0.0007,392.7529±0.0321[8],
Sirius (Alpha Canis Majoris),A$,8.7094±0.0054,374.4896±0.2313[8],
,B‡,,,
Gliese 65 (Luyten 726–8),A (BL Ceti),8.724±0.012,373.8443±0.5009[8],
,B (UV Ceti),,,
Ross 154 (V1216 Sagittarii),Ross 154 (V1216 Sagittarii),9.7063±0.0009,336.0266±0.0317[8],
Ross 248 (HH Andromedae),Ross 248 (HH Andromedae),10.3057±0.0014,316.4812±0.0444[8],
Epsilon Eridani (Ran)$,Epsilon Eridani (Ran)$,10.4749±0.0037,311.37±0.11[24],
Lacaille 9352 (Gliese 887),Lacaille 9352 (Gliese 887),10.7241±0.0007,304.1354±0.0200[8],
Ross 128 (FI Virginis),Ross 128 (FI Virginis),11.0074±0.0011,296.3053±0.0302[8],
"EZ Aquarii(Gliese 866, Luyten 789-6)",A,11.109±0.034,293.60±0.9[29],
,B,,,
,C,,,
Procyon (Alpha Canis Minoris),A$,11.402±0.032,286.05±0.81[30][31],
,B‡,,,
61 Cygni,A (BD+38°4343)$,11.4039±0.0012,286.0054±0.0289[8],
,B (BD+38°4344)$,,,
"Struve 2398(Gliese 725, BD+59°1915)",A (HD 173739),11.4908±0.0009,283.8401±0.0220[8],
,B (HD 173740),,,
Groombridge 34(Gliese 15),A (GX Andromedae),11.6191±0.0008,280.7068±0.0203[8],
,B (GQ Andromedae),,,
DX Cancri (G 51-15),DX Cancri (G 51-15),11.6797±0.0027,279.2496±0.0637[8],
Epsilon Indi(CPD?57°10015),A$,11.8670±0.0041,274.8431±0.0956[8],
,Ba§,,,
,Bb§,,,
Tau Ceti (BD?16°295)$,Tau Ceti (BD?16°295)$,11.9118±0.0074,273.8097±0.1701[8],
GJ 1061 (LHS 1565),GJ 1061 (LHS 1565),11.9839±0.0014,272.1615±0.0316[8],
YZ Ceti (LHS 138),YZ Ceti (LHS 138),12.1222±0.0015,269.0573±0.0337[8],
Luyten's Star (BD+05°1668),Luyten's Star (BD+05°1668),12.3485±0.0019,264.1269±0.0413[8],
Teegarden's Star (SO025300.5+165258),Teegarden's Star (SO025300.5+165258),12.4970±0.0045,260.9884±0.0934[8],
Kapteyn's Star (CD?45°1841),Kapteyn's Star (CD?45°1841),12.8308±0.0008,254.1986±0.0168[8],
Lacaille 8760 (AX Microscopii),Lacaille 8760 (AX Microscopii),12.9472±0.0018,251.9124±0.0352[8],
SCR 1845?6357,A,13.0638±0.0070,249.6651±0.1330[8],
,B§,,,
Kruger 60(BD+56°2783),A,13.0724±0.0052,249.5±0.1[48],
,B (DO Cephei),,,
DENIS J1048?3956,DENIS J1048?3956,13.1932±0.0027,247.2156±0.0512[8],
"Ross 614(V577 Monocerotis, Gliese 234)",A (LHS 1849),13.363±0.040,244.07±0.73[51],
,B (LHS 1850),,,
UGPS J0722-0540§,UGPS J0722-0540§,13.43±0.13,242.8±2.4[53],
"Wolf 1061 (Gliese 628, BD?12°4523)","Wolf 1061 (Gliese 628, BD?12°4523)",14.0500±0.0016,232.1390±0.0268[8],
"Van Maanen's Star (Gliese 35, LHS 7)‡","Van Maanen's Star (Gliese 35, LHS 7)‡",14.0718±0.0011,231.7800±0.0183[8],
Gliese 1 (CD?37°15492),Gliese 1 (CD?37°15492),14.1747±0.0022,230.0970±0.0362[8],
"TZ Arietis (Gliese 83.1, L 1159–16)","TZ Arietis (Gliese 83.1, L 1159–16)",14.5780±0.0046,223.7321±0.0699[8],
"Wolf 424(FL Virginis, LHS 333, Gliese 473)",A,14.595±0.031,223.4775±0.4665[8],
,B,,,
"Gliese 687 (LHS 450, BD+68°946)","Gliese 687 (LHS 450, BD+68°946)",14.8395±0.0014,219.7898±0.0210[8],
Gliese 674 (LHS 449),Gliese 674 (LHS 449),14.8492±0.0018,219.6463±0.0262[8],
LHS 292 (LP 731-58),LHS 292 (LP 731-58),14.8706±0.0041,219.3302±0.0602[8],
"Gliese 440 (WD 1142-645, LP 145-141)‡","Gliese 440 (WD 1142-645, LP 145-141)‡",15.1226±0.0013,215.6753±0.0181[8],
GJ 1245,A (G 208-44 A),15.2001±0.0034,214.5745±0.0476[8],
,B (G 208-45),,,
,C (G 208-44 B),,,
WISE 1741+2553§,WISE 1741+2553§,15.22±0.20,214.3±2.8[60],
Gliese 876 (Ross 780),Gliese 876 (Ross 780),15.2382±0.0025,214.0380±0.0356[8],
WISE 1639?6847§,WISE 1639?6847§,15.336±0.066,212.67±0.91[62],
LHS 288 (Luyten 143-23),LHS 288 (Luyten 143-23),15.7586±0.0034,206.9698±0.0448[8],
GJ 1002,GJ 1002,15.8060±0.0036,206.3500±0.0474[8],
DENIS 0255?4700§,DENIS 0255?4700§,15.877±0.014,205.4251±0.1857[8],
Groombridge 1618 (Gliese 380)$,Groombridge 1618 (Gliese 380)$,15.8857±0.0017,205.3148±0.0224[8],
Gliese 412,A,15.9969±0.0026,203.8876±0.0332[8],
,B (WX Ursae Majoris),,,
AD Leonis,AD Leonis,16.1939±0.0024,201.4064±0.0296[8],
Gliese 832,Gliese 832,16.2005±0.0019,201.3252±0.0237[8],
Gliese 682 (CD-44 11909),Gliese 682 (CD-44 11909),16.3328±0.0026,199.6944±0.0312[8],
"Omicron2 Eridani(40 Eridani, Gliese 166)",Keid (A)$,16.3330±0.0042,199.6911±0.0512[8],
,B‡,,,
,C,,,
EV Lacertae,EV Lacertae,16.4761±0.0018,197.9573±0.0220[8],
70 Ophiuchi (Gliese 702),A$,16.7074±0.0087,195.2166±0.1012[48],
,B$,,,
Altair (Alpha Aquilae)$,Altair (Alpha Aquilae)$,16.730±0.049,194.95±0.57[68],
"EI Cancri (GJ 1116, G 9-38)",A,16.800±0.011,194.1443±0.1228[8],
,B,,,
WISE J150649.97+702736.1§,WISE J150649.97+702736.1§,16.856±0.052,193.5±0.6[60],
GJ 3379 (G 99-49),GJ 3379 (G 99-49),16.9861±0.0027,192.0135±0.0310[8],
DENIS J081730.0?615520§,DENIS J081730.0?615520§,17.002±0.037,191.8362±0.4186[8],
"Gliese 445 (LHS 2459, G 254-29)","Gliese 445 (LHS 2459, G 254-29)",17.1368±0.0017,190.3251±0.0194[8],
2MASS J15404342?5101357,2MASS J15404342?5101357,17.3738±0.0046,187.7290±0.0496[8],
