name,x,y,z,stellar_class,mass,temperature,luminosity,absolute_magnitude
Sol,0,0,0,G2V,0.987,5822,1.223658,4.83
Proxima Centauri,-1.547721,-1.184562,-3.772815,M5.5Ve,0.224,2905,0.001346,13.89
Alpha Centauri B,-1.58754,-1.327487,-3.708134,K1V,0.761,5033,0.479648,6.33
Alpha Centauri A,-1.624027,-1.357997,-3.79336,G2V,0.987,5822,1.223658,4.83
Barnard's Star (BD+04¡3561a),-0.056834,-5.942847,0.485301,M5V,0.244,2977,0.001951,13.44
Luhman 16 A,-2.592797,2.719726,-5.307372,M5V,0.244,2977,0.001951,13.44
Luhman 16 B,-3.085707,-4.669448,-3.310948,M5V,0.244,2977,0.001951,13.44
WISE 0855-0714&,4.01975,3.163251,-5.38891,M8V,0.121,2544,0.00021,16.11
Wolf 359 (CN Leonis),-7.499453,2.133387,0.959404,M3.5V,0.306,3194,0.005944,12.11
"Lalande 21185 (BD+36¡2147, Gliese 411, HD 95735)",-6.516584,1.64484,4.877672,M3V,0.327,3266,0.008618,11.67
Siruis,7.940833,2.515421,-2.543515,M5V,0.244,2977,0.001951,13.44
Sirius B,7.940834,2.515421,-2.543515,M5V,0.244,2977,0.001951,13.44
Gliese 65,7.953029,2.520021,-2.550881,M5V,0.244,2977,0.001951,13.44
Gliese 65 B,7.954145,2.519637,-2.547779,M5V,0.244,2977,0.001951,13.44
Ross 154 (V1216 Sagittarii),2.929662,-9.253534,-0.037848,M4V,0.286,3122,0.0041,12.56
Ross 248 (HH Andromedae),7.363161,-0.656011,7.180597,M4V,0.286,3122,0.0041,12.56
Epsilon Eridani (Ran),6.184687,8.277089,-1.721329,M5V,0.244,2977,0.001951,13.44
Lacaille 9352 (Gliese 887),8.512095,-1.759865,-6.281196,M3V,0.327,3266,0.008618,11.67
Ross 128 (FI Virginis),-10.990625,0.588065,-0.152353,M4V,0.286,3122,0.0041,12.56
"EZ Aquarii(Gliese 866, Luyten 789-6) C",-7.061974,7.259137,4.56545,M3V,0.327,3266,0.008618,11.67
"EZ Aquarii(Gliese 866, Luyten 789-6) A",10.703964,1.619367,-2.492527,M3V,0.327,3266,0.008618,11.67
Procyon A,11.183967,2.039215,0.638897,F5IV-V,1.499,6530,6.93,2.67
