system,name,distance,coordinates,stellar_class
System,Name,Distance,Coordinates (RADec,Stellar Class
Solar System,Sol,0.0000158,,G2V
Alpha Centauri,"Proxima Centauri (C, V645 Centauri)",4.24650.0003,768.06650.04998,M5.5V
Alpha Centauri,Rigil Kentaurus (A),4.34410.0022,750.810.3813,G2V
Alpha Centauri,Toliman (B),,,K1V
Barnard's Star,Barnard's Star (BD04 3561a),5.96290.0004,546.97590.04018,M4V
Luhman 16,Luhman 16 A,6.50290.0011,501.5570.08218,L7.5
Luhman 16,Luhman 16 B,,,T0.5
WISE 08550714,WISE 08550714,7.4300.041,439.02.419,Y2
Wolf 359 (CN Leonis),Wolf 359 (CN Leonis),7.85580.0013,415.17940.06848,M6Ve
"Lalande 21185 (BD36 2147, Gliese 411, HD 95735)","Lalande 21185 (BD36 2147, Gliese 411, HD 95735)",8.30440.0007,392.75290.03218,M2V
Sirius (Alpha Canis Majoris),Sirius (Alpha Canis Majoris) A,8.70940.0054,374.48960.23138,A1V
Sirius (Alpha Canis Majoris),Sirius (Alpha Canis Majoris) B,,,DA2
Gliese 65 (Luyten 726 8),A (BL Ceti),8.7240.012,373.84430.50098,Unknown
Gliese 65 (Luyten 726 8),B (UV Ceti),,,Unknown
Ross 154 (V1216 Sagittarii),Ross 154 (V1216 Sagittarii),9.70630.0009,336.02660.03178,M3.5V
Ross 248 (HH Andromedae),Ross 248 (HH Andromedae),10.30570.0014,316.48120.04448,M6V
Epsilon Eridani (Ran),Epsilon Eridani (Ran),10.47490.0037,311.370.1124,K2V
Lacaille 9352 (Gliese 887),Lacaille 9352 (Gliese 887),10.72410.0007,304.13540.02008,M0.5V
Ross 128 (FI Virginis),Ross 128 (FI Virginis),11.00740.0011,296.30530.03028,M4V
"EZ Aquarii(Gliese 866, Luyten 789-6)","EZ Aquarii(Gliese 866, Luyten 789-6) A",11.1090.034,293.600.929,M5.5V
"EZ Aquarii(Gliese 866, Luyten 789-6)","EZ Aquarii(Gliese 866, Luyten 789-6) B",,,M5.5V
"EZ Aquarii(Gliese 866, Luyten 789-6)","EZ Aquarii(Gliese 866, Luyten 789-6) C",,,M5.5V
Procyon (Alpha Canis Minoris),Procyon (Alpha Canis Minoris) A,11.4020.032,286.050.813031,F5IV-V
Procyon (Alpha Canis Minoris),Procyon (Alpha Canis Minoris) B,,,DQZ
61 Cygni,A (BD38 4343),11.40390.0012,286.00540.02898,Unknown
61 Cygni,B (BD38 4344),,,Unknown
"Struve 2398(Gliese 725, BD59 1915)",A (HD 173739),11.49080.0009,283.84010.02208,Unknown
"Struve 2398(Gliese 725, BD59 1915)",B (HD 173740),,,Unknown
Groombridge 34(Gliese 15),A (GX Andromedae),11.61910.0008,280.70680.02038,Unknown
Groombridge 34(Gliese 15),B (GQ Andromedae),,,Unknown
